TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
SAC,SAC @ CHI,03/15/2023,W,48,117,38,78,48.7,18,42,42.9,23,29,79.3,5,40,45,26,20,6,3,19,3
LAL,LAL @ HOU,03/15/2023,L,48,110,34,90,37.8,11,44,25.0,31,37,83.8,11,25,36,21,10,7,3,17,-4
HOU,HOU vs. LAL,03/15/2023,W,48,114,47,89,52.8,8,29,27.6,12,19,63.2,16,35,51,22,18,5,3,29,4
MIA,MIA vs. MEM,03/15/2023,W,48,138,49,82,59.8,13,29,44.8,27,33,81.8,8,33,41,33,13,8,5,16,19
SAS,SAS vs. DAL,03/15/2023,L,53,128,49,107,45.8,15,34,44.1,15,26,57.7,16,31,47,26,10,7,4,30,-9
MIN,MIN vs. BOS,03/15/2023,L,48,102,37,84,44.0,12,36,33.3,16,22,72.7,8,38,46,27,13,3,2,23,-2
CLE,CLE vs. PHI,03/15/2023,L,48,109,40,85,47.1,14,41,34.1,15,22,68.2,12,21,33,20,12,6,2,18,-9
DAL,DAL @ SAS,03/15/2023,W,53,137,44,86,51.2,17,33,51.5,32,37,86.5,10,42,52,23,19,4,4,25,9
CHI,CHI vs. SAC,03/15/2023,L,48,114,38,97,39.2,16,42,38.1,22,25,88.0,13,35,48,28,15,13,4,24,-3
PHI,PHI @ CLE,03/15/2023,W,48,118,39,75,52.0,17,36,47.2,23,27,85.2,13,33,46,24,20,8,6,21,9
WAS,WAS vs. DET,03/14/2023,W,48,117,44,85,51.8,7,32,21.9,22,22,100,10,38,48,24,15,9,9,12,20
SAS,SAS vs. ORL,03/14/2023,W,48,132,48,85,56.5,22,41,53.7,14,18,77.8,7,40,47,39,15,6,7,17,18
MIL,MIL @ PHX,03/14/2023,W,48,116,40,85,47.1,12,39,30.8,24,37,64.9,13,33,46,24,13,8,6,15,12
LAL,LAL @ NOP,03/14/2023,W,48,123,40,82,48.8,18,39,46.2,25,28,89.3,15,37,52,24,18,8,2,16,15
OKC,OKC vs. BKN,03/14/2023,W,48,121,45,99,45.5,11,33,33.3,20,23,87.0,14,37,51,22,11,9,0,25,14
BKN,BKN @ OKC,03/14/2023,L,48,107,35,82,42.7,12,41,29.3,25,34,73.5,11,35,46,25,17,3,5,20,-14
ORL,ORL @ SAS,03/14/2023,L,48,114,44,97,45.4,10,29,34.5,16,21,76.2,13,29,42,24,9,7,2,16,-18
TOR,TOR vs. DEN,03/14/2023,W,48,125,49,93,52.7,12,30,40.0,15,17,88.2,14,30,44,25,11,10,2,18,15
,,,,,,,,,,,,,,,,,,,,,,,
DET,DET @ WAS,03/14/2023,L,48,97,38,99,38.4,10,34,29.4,11,12,91.7,19,25,44,18,11,8,3,19,-20
DEN,DEN @ TOR,03/14/2023,L,48,110,42,76,55.3,6,25,24.0,20,25,80.0,4,28,32,29,14,9,4,17,-15
NOP,NOP vs. LAL,03/14/2023,L,48,108,42,98,42.9,11,43,25.6,13,20,65.0,15,26,41,23,12,9,3,24,-15
PHX,PHX vs. MIL,03/14/2023,L,48,104,41,95,43.2,8,23,34.8,14,16,87.5,8,33,41,23,11,7,3,26,-12
CHA,CHA vs. CLE,03/14/2023,L,48,104,43,76,56.6,6,23,26.1,12,15,80.0,6,34,40,28,22,3,8,18,-16
CLE,CLE @ CHA,03/14/2023,W,48,120,45,88,51.1,14,30,46.7,16,19,84.2,8,22,30,29,9,8,6,19,16
NYK,NYK @ POR,03/14/2023,W,48,123,42,81,51.9,15,35,42.9,24,34,70.6,9,43,52,23,13,8,8,13,16
POR,POR vs. NYK,03/14/2023,L,48,107,38,99,38.4,17,45,37.8,14,18,77.8,11,27,38,22,12,8,3,19,-16
GSW,GSW vs. PHX,03/13/2023,W,48,123,45,83,54.2,19,39,48.7,14,24,58.3,9,32,41,28,16,8,6,21,11
HOU,HOU vs. BOS,03/13/2023,W,48,111,40,90,44.4,11,35,31.4,20,27,74.1,15,33,48,27,11,9,2,21,2
BOS,BOS @ HOU,03/13/2023,L,48,109,39,87,44.8,12,42,28.6,19,21,90.5,10,28,38,19,14,7,5,22,-2
DET,DET vs. IND,03/13/2023,W,48,117,48,100,48.0,14,36,38.9,7,10,70.0,19,33,52,28,15,10,5,21,20
UTA,UTA @ MIA,03/13/2023,L,48,115,43,90,47.8,16,38,42.1,13,18,72.2,16,32,48,31,18,7,4,25,-4
SAC,SAC vs. MIL,03/13/2023,L,48,124,46,104,44.2,21,50,42.0,11,15,73.3,15,30,45,31,9,4,2,21,-9
DAL,DAL vs. MEM,03/13/2023,L,48,88,35,90,38.9,12,46,26.1,6,8,75.0,8,33,41,23,13,3,3,16,-16
PHX,PHX @ GSW,03/13/2023,L,48,112,46,95,48.4,4,21,19.0,16,22,72.7,17,30,47,25,14,8,4,23,-11
IND,IND @ DET,03/13/2023,L,48,97,36,86,41.9,10,34,29.4,15,24,62.5,13,29,42,23,16,7,5,15,-20
MEM,MEM @ DAL,03/13/2023,W,48,104,38,83,45.8,12,37,32.4,16,19,84.2,7,40,47,23,16,9,3,17,16
MIN,MIN @ ATL,03/13/2023,W,48,136,54,92,58.7,12,28,42.9,16,23,69.6,5,32,37,39,13,12,10,22,21
